brand,model,year,mileage,transmission,location,fuel_type,price,grade
Honda,WR-V E 1.5,2023,28821,Manual,Jakarta Raya,Bensin,169000000,B
Toyota,CALYA G 1.2,2022,93622,Manual,Gedangan,Bensin,102000000,B
Toyota,AVANZA G 1.5,2022,84160,Manual,Gedangan,Bensin,160000000,B
Mitsubishi,XPANDER SPORT 1.5,2022,72850,Automatic,Jakarta Raya,Bensin,208000000,B
Wuling,CONFERO DB 1.5,2022,38749,Manual,Denpasar,Bensin,78000000,B
Toyota,CAMRY V 2.5,2023,53670,Automatic,Jakarta Raya,Bensin,345000000,B
Daihatsu,AYLA X 1.0,2021,17453,Manual,Gedangan,Bensin,85000000,B
Daihatsu,SIGRA X 1.2,2021,65174,Automatic,Gedangan,Bensin,100000000,B
Toyota,AVANZA G 1.5,2022,56611,Manual,Gedangan,Bensin,175000000,B
Suzuki,ERTIGA SUZUKI SPORT 1.5,2022,98142,Automatic,Jakarta Raya,Bensin,162000000,B
Wuling,BINGUO EV PREMIUM RANGE,2024,9161,Automatic,Jakarta Raya,Bensin,199250000,B
Toyota,VIOS G 1.5,2022,57931,Automatic,Jakarta Raya,Bensin,168000000,B
Toyota,AVANZA G 1.5,2022,74844,Manual,Gedangan,Bensin,172500000,B
Mazda,3 HATCHBACK 2.0,2025,1897,Automatic,Jakarta Raya,Bensin,402000000,B
Suzuki,IGNIS GX 1.2,2022,41133,Automatic,Gedangan,Bensin,133000000,B
Toyota,AVANZA G 1.5,2022,80502,Manual,Gedangan,Bensin,172000000,B
Daihatsu,AYLA R 1.2,2023,37681,Manual,Jakarta Raya,Bensin,113000000,B
Toyota,VELOZ Q TSS 1.5,2021,43254,Automatic,Jakarta Raya,Bensin,220000000,B
Toyota,AVANZA G 1.5,2022,83924,Manual,Gedangan,Bensin,169500000,B
Toyota,INNOVA G 2.0,2022,21347,Manual,Jakarta Raya,Bensin,225000000,B
Daihatsu,AYLA X 1.0,2023,32125,Manual,Mataram,Bensin,105000000,B
Toyota,AVANZA G 1.5,2022,62788,Manual,Gedangan,Bensin,172500000,B
Mitsubishi,CANTER FE 74L 3.9,2025,32596,Manual,Gedangan,Diesel,380000000,B
Hino,115 SD 4.0,2022,37599,Manual,Gedangan,Diesel,233000000,B
Hyundai,PALISADE SIGNATURE 2.2,2021,60350,Automatic,Malang,Diesel,540000000,B
Toyota,AVANZA G 1.5,2022,52067,Manual,Malang,Bensin,174000000,B
Daihatsu,XENIA X 1.3,2021,95504,Manual,Denpasar,Bensin,123000000,B
Toyota,AVANZA G 1.5,2022,94425,Manual,Malang,Bensin,174000000,B
Toyota,HILUX PU 2.0,2022,80095,Manual,Kupang,Bensin,160000000,B
Toyota,AVANZA G 1.5,2022,99159,Manual,Malang,Bensin,162500000,B
Honda,HR-V SE 1.5,2024,21716,Automatic,Denpasar,Bensin,325000000,B
Suzuki,ERTIGA GL 1.5,2021,87376,Automatic,Jakarta - Tipar,Bensin,153500000,B
Toyota,FORTUNER GR SPORT 2.8,2024,25378,Automatic,Bdg Soetta (Metro),Diesel,492500000,B
Honda,MOBILIO S 1.5,2020,34152,Manual,Bdg Soetta (Metro),Bensin,120000000,B
Mazda,2 GT 1.5,2022,21275,Automatic,Bdg Soetta (Metro),Bensin,219000000,B
Hyundai,SANTA FE G SIGNATURE 2.5,2021,99255,Automatic,Bdg Soetta (Metro),Bensin,269000000,B
Toyota,CALYA G 1.2,2020,60593,Automatic,Jakarta - Tipar,Bensin,113000000,B
Honda,HR-V SE 1.5,2024,47100,Automatic,Jakarta - Tipar,Bensin,296000000,B
Honda,BRIO SATYA E 1.2,2024,18460,Manual,Jakarta - Tipar,Bensin,148500000,B
Honda,BRIO SATYA S 1.2,2024,33562,Manual,Bdg Soetta (Metro),Bensin,132500000,B
Toyota,RAIZE GR SPORT 1.0,2022,77940,Automatic,Jakarta - Tipar,Bensin,183000000,B
Mitsubishi,XPANDER ULTIMATE 1.5,2019,65969,Automatic,Jakarta - Tipar,Bensin,187500000,B
Toyota,AGYA G 1.2,2021,84447,Automatic,Jakarta - Tipar,Bensin,125000000,B
Toyota,AVANZA G 1.3,2021,78340,Automatic,Jakarta - Tipar,Bensin,160500000,B
Toyota,RAIZE G 1.2,2022,18437,Automatic,Jakarta - Tipar,Bensin,172000000,B
Daihatsu,ROCKY X 1.2,2022,34221,Automatic,Jakarta - Tipar,Bensin,162000000,B
Honda,WR-V RS 1.5,2024,29248,Automatic,Jakarta - Tipar,Bensin,216500000,B
Daihatsu,AYLA D 1.0,2022,19370,Manual,Bdg Soetta (Metro),Bensin,87500000,B
Suzuki,XL 7 BETA 1.5,2022,39998,Automatic,Bdg Soetta (Metro),Bensin,177500000,B
Honda,BRIO RS 1.2,2019,55435,Automatic,Bdg Soetta (Metro),Bensin,143500000,B
Wuling,CORTEZ S 1.5,2022,74808,Automatic,Batam,Bensin,100000000,B
Toyota,INNOVA G 2.0,2021,89126,Manual,Batam,Bensin,240000000,B
Toyota,AVANZA G 1.3,2021,76633,Manual,Batam,Bensin,145000000,B
Toyota,AVANZA G 1.5,2022,91743,Manual,Padang,Bensin,179000000,B
Daihatsu,GRAN MAX MINIBUS 1.5,2022,62327,Manual,Semarang,Bensin,130000000,B
Wuling,CONFERO DB 1.5,2023,37698,Manual,Sampit,Bensin,166000000,B
Suzuki,FRONX GL 1.5,2025,8964,Automatic,Pekanbaru,Bensin,195000000,B
Toyota,FORTUNER SRZ 2.7,2019,73500,Automatic,Banjarmasin,Bensin,320000000,B
Suzuki,XL 7 BETA 1.5,2024,22549,Manual,Sampit,Bensin,188500000,B
Daihatsu,SIGRA D 1.0,2023,42525,Manual,Jambi,Bensin,93000000,B
Daihatsu,SIGRA R 1.2,2023,40959,Manual,Banjarmasin,Bensin,110000000,B
Mitsubishi,XPANDER EXCEED 1.5,2022,87419,Automatic,Semarang,Bensin,178000000,B
Toyota,AVANZA G 1.5,2021,57320,Automatic,Banjarmasin,Bensin,155000000,B
Daihatsu,SIGRA D 1.0,2024,41050,Manual,Purwokerto,Bensin,100000000,B
Toyota,INNOVA G 2.4,2021,87933,Automatic,Jakarta Raya,Diesel,301000000,B
Toyota,AVANZA VELOZ 1.5,2022,58106,Automatic,Semarang,Bensin,185000000,B
Daihatsu,XENIA R 1.3,2018,90777,Automatic,Jakarta Raya,Bensin,112000000,B
Toyota,AVANZA G 1.5,2022,84151,Manual,Semarang,Bensin,140000000,B
Mitsubishi,PAJERO SPORT DAKAR 2.4,2022,80651,Automatic,Semarang,Diesel,380000000,B
Mitsubishi,XPANDER EXCEED 1.5,2022,60176,Automatic,Jakarta Raya,Bensin,195000000,B
Mitsubishi,XPANDER EXCEED 1.5,2022,74915,Automatic,Jakarta Raya,Bensin,195000000,B
Toyota,INNOVA G 2.0,2019,72676,Automatic,Jakarta Raya,Bensin,222000000,B
Daihatsu,SIGRA M 1.0,2024,39537,Manual,Jakarta Raya,Bensin,101000000,B
Mitsubishi,XPANDER SPORT 1.5,2022,83518,Automatic,Jakarta Raya,Bensin,208000000,B
Mitsubishi,XPANDER SPORT 1.5,2022,96444,Automatic,Jakarta Raya,Bensin,208000000,B
Toyota,INNOVA G 2.0,2021,63135,Manual,Batam,Bensin,200000000,B
Toyota,AVANZA G 1.3,2021,76224,Manual,Batam,Bensin,140000000,B
Daihatsu,SIGRA R 1.2,2024,47518,Automatic,Jakarta Raya,Bensin,121000000,B
Toyota,AVANZA G 1.3,2021,75789,Manual,Batam,Bensin,140000000,B
Toyota,INNOVA G 2.0,2021,59197,Manual,Batam,Bensin,215000000,B
Toyota,AVANZA G 1.5,2022,98825,Manual,Jakarta Raya,Bensin,150000000,B
Isuzu,PHR 54 C BB,2021,13626,Manual,Jakarta Raya,Diesel,198000000,B
Daihatsu,AYLA X 1.0,2022,28223,Automatic,Jakarta Raya,Bensin,93000000,B
Toyota,INNOVA G 2.0,2022,57563,Automatic,Jakarta Raya,Bensin,230000000,B
Toyota,CAMRY V 2.5,2021,72837,Automatic,Jakarta Raya,Bensin,275000000,B
Toyota,CAMRY V 2.5,2023,52880,Automatic,Jakarta Raya,Bensin,345000000,B
Toyota,CAMRY V 2.5,2023,77523,Automatic,Jakarta Raya,Bensin,345000000,B
Toyota,FORTUNER VRZ 2.8,2023,58568,Automatic,Jakarta Raya,Diesel,425000000,B
Mitsubishi,XPANDER GLS 1.5,2021,91470,Manual,Batam,Bensin,148000000,B
Bmw,530I CKD 2.0,2018,77608,Automatic,Jakarta Raya,Bensin,440000000,B
Wuling,AIR EV LONG RANGE,2023,28649,Automatic,Jakarta Raya,Bensin,121000000,B
Isuzu,FVZ 34 P,2023,28536,Manual,Banjarmasin,Diesel,490000000,B
Isuzu,FVZ 34 P,2023,58406,Manual,Banjarmasin,Diesel,490000000,B
Isuzu,FVZ 34 P,2023,51696,Manual,Banjarmasin,Diesel,490000000,B
Wuling,AIR EV LITE 300KM,2025,1539,Automatic,Jakarta Raya,Bensin,125000000,B
Toyota,CAMRY V 2.5,2021,64040,Automatic,Jakarta Raya,Bensin,275000000,B
Toyota,ALPHARD G 2.5,2020,59404,Automatic,Jakarta Raya,Bensin,532000000,B
Toyota,RAIZE 1.0,2021,53369,Automatic,Jakarta Raya,Bensin,150000000,B
Toyota,ALPHARD G 2.5,2018,60356,Automatic,Jakarta Raya,Bensin,570000000,B
Toyota,AVANZA G 1.3,2021,41037,Manual,Jakarta Raya,Bensin,155000000,B
Daihatsu,XENIA X 1.3,2022,64090,Automatic,Jakarta Raya,Bensin,135000000,B
Mitsubishi,FE 74 HD N 3.9,2025,3088,Manual,Jakarta Raya,Diesel,465000000,B
Ud,TRUCKS CKE 250 7.7,2023,56839,Manual,Cirebon,Diesel,360000000,B
Daihatsu,AYLA X 1.0,2024,31901,Automatic,Bdg Soetta (Metro),Bensin,100000000,B
Toyota,RAIZE 1.0,2021,57566,Automatic,Denpasar,Bensin,145000000,B
Toyota,INNOVA G 2.0,2018,74566,Manual,Medan,Bensin,185000000,B
Mitsubishi,FE 74 HD N 3.9,2022,48530,Manual,Medan,Diesel,279500000,B
Toyota,COROLLA ALTIS HYBRID 1.8,2020,65997,Automatic,Jakarta - Tipar,Bensin,230000000,B
Toyota,COROLLA ALTIS HYBRID 1.8,2020,62185,Automatic,Jakarta - Tipar,Bensin,240000000,B
Bmw,520I G30,2022,17785,Automatic,Bdg Soetta (Metro),Bensin,635000000,B
Toyota,INNOVA VENTURER 2.0,2022,66287,Automatic,Jakarta - Tipar,Bensin,303000000,B
